Sector,Coordinates
1,"28.360102° N, 76.948375° E"
2,"28.509050° N, 77.034283° E"
3,"28.497391° N, 77.020526° E"
4,"28.475006° N, 77.010353° E"
5,"28.367354° N, 76.926724° E"
6,"28.475326° N, 77.025828° E"
7,"28.466257° N, 77.014265° E"
8,"28.459897° N, 77.019804° E"
9,"28.384099° N, 76.886134° E"
10,"28.444581° N, 77.006023° E"
11,"28.378143° N, 76.875377° E"
12,"28.464066° N, 77.025966° E"
13,"28.474600° N, 77.036719° E"
14,"28.473784° N, 77.047183° E"
15,"28.384320° N, 76.912233° E"
16,"28.468734° N, 77.051179° E"
17,"28.475804° N, 77.060777° E"
18,"28.491345° N, 77.071026° E"
19,"28.503091° N, 77.081748° E"
20,"28.508496° N, 77.087939° E"
21,"28.514363° N, 77.073009° E"
22,"28.506318° N, 77.065518° E"
23,"28.510319° N, 77.053009° E"
24,"28.494481° N, 77.101304° E"
25,"28.486089° N, 77.084224° E"
26,"28.477937° N, 77.103242° E"
27,"28.464657° N, 77.083951° E"
28,"28.474130° N, 77.082572° E"
29,"28.466920° N, 77.067131° E"
30,"28.461624° N, 77.056682° E"
31,"28.454004° N, 77.049718° E"
32,"28.445804° N, 77.041317° E"
33,"28.438478° N, 77.025165° E"
34,"28.428003° N, 77.011568° E"
35,"28.414567° N, 77.001869° E"
36,"28.419334° N, 76.988926° E"
37,"28.434268° N, 76.999294° E"
38,"28.435142° N, 77.040354° E"
39,"28.442367° N, 77.050472° E"
40,"28.450043° N, 77.057709° E"
41,"28.456919° N, 77.064605° E"
42,"28.455897° N, 77.108476° E"
43,"28.454874° N, 77.085886° E"
44,"28.450706° N, 77.073828° E"
45,"28.444900° N, 77.066355° E"
46,"28.435913° N, 77.058404° E"
47,"28.425157° N, 77.047513° E"
48,"28.410490° N, 77.039463° E"
49,"28.412885° N, 77.049836° E"
50,"28.416654° N, 77.061175° E"
51,"28.428701° N, 77.066688° E"
52,"28.436817° N, 77.079528° E"
53,"28.441519° N, 77.096805° E"
54,"28.441611° N, 77.111872° E"
55,"28.427417° N, 77.109754° E"
56,"28.425323° N, 77.098516° E"
57,"28.423248° N, 77.080449° E"
58,"28.416001° N, 77.108556° E"
59,"28.403016° N, 77.106668° E"
60,"28.398562° N, 77.097828° E"
61,"28.411019° N, 77.096368° E"
62,"28.407697° N, 77.082378° E"
63,"28.396448° N, 77.086498° E"
64,"28.391464° N, 77.076198° E"
65,"28.403016° N, 77.069589° E"
66,"28.397429° N, 77.053882° E"
67,"28.386405° N, 77.059805° E"
68,"28.388897° N, 77.045986° E"
69,"28.396070° N, 77.037231° E"
70,"28.394726° N, 77.022314° E"
71,"28.406456° N, 77.023313° E"
72,"28.415926° N, 77.029077° E"
73,"28.408808° N, 77.016169° E"
74,"28.411276° N, 77.010669° E"
75,"28.396448° N, 77.006590° E"
76,"28.391011° N, 76.990024° E"
77,"28.383234° N, 76.982557° E"
78,"28.372528° N, 76.970296° E"
79,
80,"28.370217° N, 76.961116° E"
81,"28.387365° N, 76.947583° E"
82,"28.393108° N, 76.958876° E"
83,"28.398109° N, 76.973287° E"
84,"28.408229° N, 76.963025° E"
85,"28.403652° N, 76.953143° E"
86,"28.398121° N, 76.941126° E"
87,"28.392219° N, 76.929170° E"
88,"28.421965° N, 76.956808° E"
89,"28.418446° N, 76.945757° E"
90,"28.406997° N, 76.936556° E"
91,"28.400759° N, 76.921080° E"
92,"28.408905° N, 76.915523° E"
93,"28.415605° N, 76.931638° E"
94,"28.421965° N, 76.929771° E"
95,"28.414944° N, 76.911489° E"
96,
97,"28.409282° N, 76.880590° E"
98,
99,"28.464555° N, 76.962858° E"
100,"28.461390° N, 76.971271° E"
101,"28.468408° N, 76.980379° E"
102,"28.475487° N, 76.971175° E"
103,"28.493087° N, 76.986645° E"
104,"28.479532° N, 76.993720° E"
105,"28.494313° N, 77.008138° E"
106,"28.506081° N, 76.996780° E"
107,"28.506941° N, 76.975214° E"
108,"28.512899° N, 76.982361° E"
109,"28.510921° N, 77.006596° E"
110,"28.506963° N, 77.018321° E"
111,"28.522277° N, 77.033620° E"
112,"28.520340° N, 77.018861° E"
113,"28.528665° N, 77.025028° E"
114,"28.531878° N, 77.011779° E"
115,"28.535688° N, 77.006943° E"
